Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
1,110,11004005,INGENIERIA EN COMPUTACION,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11004005.html,Completado,1689,100,0.75,,Licenciatura 2026,82,1689,1472,104,100
1,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11008005.html,Completado,42,27,0.29,,Licenciatura 2026,25,42,34,44,27
1,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,Completado,137,64,0.22,,Licenciatura 2026,45,137,115,70,65
1,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,Completado,41,32,0.3,,Licenciatura 2026,30,41,35,41,32
1,128,12810005,INGENIERIA EN ENERGIAS RENOVABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12810005.html,Completado,85,50,0.21,,Licenciatura 2026,35,85,66,67,50
1,111,11100115,INGENIERIA EN TELECOMUNICACIONES,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11100115.html,Completado,227,25,0.45,,Licenciatura 2026,25,227,204,101,26
1,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,Completado,74,20,0.24,,Licenciatura 2026,22,74,63,80,22
1,113,11300115,INGENIERIA GEOLOGICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11300115.html,Completado,118,28,0.24,,Licenciatura 2026,30,118,101,87,30
1,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,Completado,85,26,0.23,,Licenciatura 2026,26,85,76,87,26
1,114,11400115,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11400115.html,Completado,1176,77,0.58,,Licenciatura 2026,71,1176,997,108,80
1,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11401005.html,Completado,451,44,0.57,,Licenciatura 2026,41,451,403,95,44
1,114,11404005,INGENIERIA INDUSTRIAL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11404005.html,Completado,662,54,0.45,,Licenciatura 2026,50,662,562,99,56
1,115,11500115,INGENIERIA MECANICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11500115.html,Completado,2131,83,0.79,,Licenciatura 2026,64,2131,1766,110,85
1,115,11504005,INGENIERIA MECANICA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11504005.html,Completado,967,41,0.45,,Licenciatura 2026,39,967,803,104,41
1,116,11601005,INGENIERIA MECANICA ELECTRICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11601005.html,Completado,698,107,0.33,,Licenciatura 2026,106,698,588,86,107
1,117,11700115,INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11700115.html,Completado,531,62,0.3,,Licenciatura 2026,62,531,451,98,62
1,118,11800055,INGENIERIA QUIMICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11800055.html,Completado,645,53,0.32,,Licenciatura 2026,55,645,558,108,56
1,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11801005.html,Completado,284,67,0.27,,Licenciatura 2026,66,284,238,85,67
1,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,Completado,390,111,0.25,,Licenciatura 2026,108,390,334,80,112
1,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,Completado,98,29,0.21,,Licenciatura 2026,32,98,81,86,33
