Anio,Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
2025,2,222,22206005,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22206005.html,Completado,1279,71,0.7,,Licenciatura 2025,65,1279,1018,83,71
2025,2,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,Completado,337,36,0.32,,Licenciatura 2025,37,337,301,77,37
2025,2,209,20906005,OPTOMETRIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20906005.html,Completado,86,37,0.2,,Licenciatura 2025,39,86,63,45,38
2025,2,228,22810005,ORTESIS Y PROTESIS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22810005.html,Completado,138,22,0.27,,Licenciatura 2025,22,138,108,72,23
2025,2,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,Completado,4603,77,1.45,,Licenciatura 2025,80,4603,3863,107,80
2025,2,210,21003005,PSICOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21003005.html,Completado,2547,111,0.99,,Licenciatura 2025,110,2547,2261,87,112
2025,2,210,21005005,PSICOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21005005.html,Completado,3202,119,1.1,,Licenciatura 2025,120,3202,2854,88,125
2025,2,210,21000015,PSICOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000015.html,Completado,72,28,0.35,,Licenciatura 2025,25,72,60,50,28
2025,2,211,21100055,QUIMICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21100055.html,Completado,429,33,0.34,,Licenciatura 2025,32,429,356,99,34
2025,2,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21101005.html,Completado,157,38,0.2,,Licenciatura 2025,38,157,141,67,40
2025,2,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21200055.html,Completado,547,47,0.25,,Licenciatura 2025,48,547,470,91,48
2025,2,213,21300055,QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21300055.html,Completado,2370,69,0.69,,Licenciatura 2025,60,2370,2031,104,71
2025,2,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,Completado,1499,53,0.56,,Licenciatura 2025,55,1499,1340,102,55
2025,2,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,Completado,249,60,0.3,,Licenciatura 2025,60,249,219,59,61
2025,3,301,30100065,ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100065.html,Completado,6848,410,1.86,,Licenciatura 2025,390,6848,5843,90,422
2025,3,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,Completado,289,162,0.56,,Licenciatura 2025,70,289,234,45,162
2025,3,301,30101005,ADMINISTRACION,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30101005.html,Completado,1202,256,0.4,,Licenciatura 2025,240,1202,1015,60,256
2025,3,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31406005.html,Completado,59,21,0.25,,Licenciatura 2025,35,59,44,45,21
2025,3,319,31900045,ANTROPOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31900045.html,Completado,340,87,0.25,,Licenciatura 2025,88,340,275,74,88
2025,3,302,30200045,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30200045.html,Completado,1494,71,0.52,,Licenciatura 2025,69,1494,1262,98,74
2025,3,303,30300045,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30300045.html,Completado,738,58,0.37,,Licenciatura 2025,61,738,607,92,61
2025,3,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30302005.html,Completado,400,67,0.31,,Licenciatura 2025,70,400,354,67,70
2025,3,315,31502005,COMUNICACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31502005.html,Completado,848,173,0.48,,Licenciatura 2025,80,848,723,68,177
2025,3,316,31604005,COMUNICACION Y PERIODISMO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31604005.html,Completado,1164,270,0.43,,Licenciatura 2025,145,1164,1019,64,274
2025,3,304,30400065,CONTADURIA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400065.html,Completado,5760,581,1.93,,Licenciatura 2025,580,5760,4990,86,601
2025,3,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,Completado,269,152,0.5,,Licenciatura 2025,70,269,222,45,152
2025,3,304,30401005,CONTADURIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30401005.html,Completado,1163,330,0.41,,Licenciatura 2025,325,1163,1021,60,335
2025,3,305,30500075,DERECHO,FACULTAD DE DERECHO,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30500075.html,Completado,7184,550,2.09,,Licenciatura 2025,556,7184,6115,89,576
2025,3,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,Completado,2397,257,2.15,,Licenciatura 2025,199,2397,2091,71,265
2025,3,305,30504005,DERECHO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30504005.html,Completado,3662,244,2.06,,Licenciatura 2025,249,3662,3249,79,250
