Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
1,110,11004005,INGENIERIA EN COMPUTACION,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11004005.html,Completado,465,0,0.31,,Licenciatura 2026,82,465,247,68,102
1,110,11008005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11008005.html,Completado,27,0,0.23,,Licenciatura 2026,25,27,16,51,14
1,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11010005.html,Completado,65,0,0.26,,Licenciatura 2026,45,65,41,40,41
1,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12800905.html,Completado,32,0,0.29,,Licenciatura 2026,30,32,17,40,17
1,128,12810005,INGENIERIA EN ENERGIAS RENOVABLES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12810005.html,Completado,50,0,0.16,,Licenciatura 2026,35,50,36,48,36
1,111,11100115,INGENIERIA EN TELECOMUNICACIONES,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11100115.html,Completado,97,0,0.16,,Licenciatura 2026,25,97,50,69,26
1,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11200115.html,Completado,38,0,0.19,,Licenciatura 2026,22,38,27,51,22
1,113,11300115,INGENIERIA GEOLOGICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11300115.html,Completado,73,0,0.17,,Licenciatura 2026,30,73,43,56,30
1,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12000115.html,Completado,57,0,0.18,,Licenciatura 2026,26,57,39,54,26
1,114,11400115,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11400115.html,Completado,385,0,0.29,,Licenciatura 2026,71,385,205,71,83
1,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11401005.html,Completado,155,0,0.25,,Licenciatura 2026,41,155,86,61,44
1,114,11404005,INGENIERIA INDUSTRIAL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11404005.html,Completado,223,0,0.22,,Licenciatura 2026,50,223,99,53,56
1,115,11500115,INGENIERIA MECANICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11500115.html,Completado,396,0,0.26,,Licenciatura 2026,64,396,236,87,86
1,115,11504005,INGENIERIA MECANICA,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11504005.html,Completado,286,0,0.27,,Licenciatura 2026,39,286,126,69,41
1,116,11601005,INGENIERIA MECANICA ELECTRICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11601005.html,Completado,298,0,0.28,,Licenciatura 2026,106,298,133,41,112
1,117,11700115,INGENIERIA PETROLERA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11700115.html,Completado,287,0,0.31,,Licenciatura 2026,62,287,141,61,63
1,118,11800055,INGENIERIA QUIMICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11800055.html,Completado,144,0,0.29,,Licenciatura 2026,55,144,88,74,56
1,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11801005.html,Completado,158,0,0.3,,Licenciatura 2026,66,158,83,46,67
1,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11805005.html,Completado,254,0,0.28,,Licenciatura 2026,108,254,154,51,114
1,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/11900055.html,Completado,48,0,0.2,,Licenciatura 2026,32,48,33,44,32
1,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12200035.html,Completado,209,0,0.25,,Licenciatura 2026,121,209,160,74,126
1,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/13600035.html,Completado,60,0,0.22,,Licenciatura 2026,32,60,46,73,41
1,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/1/12102005.html,Completado,358,0,0.23,,Licenciatura 2026,260,358,247,40,226
